Method, Number of uses
org/apache/sysds/runtime/instructions/cp/DataGenCPInstruction.getMinValue, 5
org/apache/sysds/runtime/instructions/cp/DataGenCPInstruction.getMaxValue, 5
org/apache/sysds/runtime/instructions/cp/DataGenCPInstruction.getSparsity, 6
org/apache/sysds/runtime/compress/colgroup/dictionary/ADictionary.addToEntry, 11
org/apache/sysds/runtime/compress/colgroup/offset/AOffset.getOffsetIterator, 7
org/apache/sysds/runtime/compress/colgroup/offset/AOffsetIterator.value, 8
org/apache/sysds/runtime/compress/colgroup/offset/AOffsetIterator.next, 9
org/apache/sysds/runtime/meta/DataCharacteristics.<init>, 11
org/apache/sysds/runtime/meta/MatrixCharacteristics.set, 5
org/apache/sysds/runtime/meta/MatrixCharacteristics.getRows, 8
org/apache/sysds/runtime/iogen/FastStringTokenizer.nextToken, 7
org/apache/sysds/runtime/instructions/cp/CPOperand.isFrame, 8
org/apache/sysds/api/mlcontext/Metadata.<init>, 40
org/apache/sysds/hops/ParameterizedBuiltinOp.getTargetHop, 12
org/apache/sysds/runtime/instructions/cp/FunctionCallCPInstruction.<init>, 5
org/apache/sysds/runtime/controlprogram/paramserv/ParamservUtils.cleanupListObject, 6
org/apache/sysds/runtime/meta/TensorCharacteristics.getNumDims, 6
org/apache/sysds/runtime/util/UtilFunctions.objectToObject, 5
org/apache/sysds/runtime/data/TensorIndexes.getIndex, 6
org/apache/sysds/runtime/util/UtilFunctions.longHashCode, 6
org/apache/sysds/runtime/instructions/cp/ListObject.getPosForName, 6
org/apache/sysds/runtime/instructions/cp/ListObject.getStatus, 5
org/apache/sysds/runtime/data/SparseRowVector.<init>, 12
org/apache/sysds/runtime/compress/estim/CompressedSizeInfo.setInfo, 5
org/apache/sysds/common/Builtins.<init>, 5
org/apache/sysds/runtime/compress/CompressedMatrixBlock.printDecompressWarning, 18
org/apache/sysds/runtime/compress/CompressedMatrixBlock.getUncompressed, 18
org/apache/sysds/runtime/data/DenseBlock.getString, 6
org/apache/sysds/runtime/instructions/cp/ListObject.getDataSize, 5
org/apache/sysds/runtime/io/FileFormatPropertiesLIBSVM.getDelim, 6
org/apache/sysds/runtime/io/FileFormatPropertiesLIBSVM.getIndexDelim, 6
org/apache/sysds/parser/DataExpression.<init>, 10
org/apache/sysds/runtime/controlprogram/federated/FederatedWorkerHandlerException.<init>, 11
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.getBroadcastForMatrixObject, 5
org/apache/sysds/runtime/controlprogram/federated/FederationMap.forEachParallel, 6
org/apache/sysds/runtime/transform/decode/Decoder.getSchema, 5
org/apache/sysds/runtime/controlprogram/paramserv/LocalPSWorker.getWorkerName, 8
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.createSystemDSSparkConf, 5
org/apache/sysds/runtime/controlprogram/context/SparkExecutionContext.getSparkContextStatic, 6
org/apache/sysds/runtime/controlprogram/paramserv/ParamservUtils.cleanupListObject, 7
org/apache/sysds/runtime/controlprogram/paramserv/ParamservUtils.newMatrixObject, 5
org/apache/sysds/runtime/controlprogram/federated/FederatedRequest.getTID, 5
org/apache/sysds/runtime/transform/encode/ColumnEncoderComposite.hasEncoder, 5
org/apache/sysds/runtime/transform/encode/ColumnEncoderComposite.getEncoder, 7
org/apache/sysds/runtime/matrix/data/FrameBlock.getColumn, 7
org/apache/sysds/runtime/controlprogram/caching/CacheBlock.getNumColumns, 12
org/apache/sysds/runtime/transform/encode/MultiColumnEncoder.getColumnEncoders, 10
org/apache/sysds/runtime/data/DenseBlock.getDim, 6
org/apache/sysds/runtime/compress/colgroup/offset/AOffset.getIterator, 14
org/apache/sysds/parser/Expression.setParseInfo, 6
org/apache/sysds/runtime/io/InputOutputInfo.get, 6
org/apache/sysds/runtime/instructions/spark/data/RDDObject.isCheckpointRDD, 7
org/apache/sysds/runtime/instructions/spark/data/BroadcastObject.getSize, 5
org/apache/sysds/runtime/controlprogram/caching/CacheableData.addBroadcastSize, 5
org/apache/sysds/runtime/instructions/spark/data/PartitionedBlock.getNumRowBlocks, 10
org/apache/sysds/runtime/instructions/spark/data/PartitionedBlock.getNumColumnBlocks, 8
org/apache/sysds/lops/Data.getOperationType, 6
org/apache/sysds/parser/DMLTranslator.processExpression, 21
org/apache/sysds/parser/DMLTranslator.setIdentifierParams, 9
org/apache/sysds/parser/DMLTranslator.createTarget, 7
org/apache/sysds/runtime/data/BasicTensorBlock.reset, 8
org/apache/sysds/protobuf/SysdsProtos$Schema$Builder.ensureValueTypeIsMutable, 7
org/apache/sysds/protobuf/SysdsProtos$Schema$Builder.clone, 6
org/apache/sysds/runtime/matrix/data/WeightedCell.checkType, 5
org/apache/sysds/runtime/instructions/cp/DataGenCPInstruction.<init>, 5
org/apache/sysds/hops/DataGenOp.generateRandomSeed, 5
org/apache/sysds/runtime/compress/colgroup/offset/AIterator.isNotOver, 14
org/apache/sysds/runtime/instructions/cp/VariableCPInstruction.parseInstruction, 9
org/apache/sysds/parser/dml/CustomErrorListener.validationError, 7
org/apache/sysds/hops/estim/EstimatorMatrixHistogram$MatrixHistogram.<init>, 9
org/apache/sysds/runtime/meta/TensorCharacteristics.set, 5
org/apache/sysds/hops/codegen/template/TemplateCell.isValidOperation, 5
org/apache/sysds/runtime/compress/colgroup/offset/OffsetFactory.createOffset, 5
org/apache/sysds/runtime/controlprogram/federated/FederationMap.<init>, 5
org/apache/sysds/api/mlcontext/ScriptFactory.scriptFromString, 6
org/apache/sysds/runtime/compress/colgroup/AColGroupValue.getCounts, 9
org/apache/sysds/runtime/compress/colgroup/AColGroupValue.clone, 5
org/apache/sysds/runtime/util/FastBufferedDataOutputStream.flushBuffer, 12
org/apache/sysds/runtime/instructions/gpu/context/CSRPointer.getIntSizeOf, 8
org/apache/sysds/runtime/matrix/data/FrameBlock$ColumnMetadata.<init>, 5
org/apache/sysds/runtime/matrix/data/FrameBlock.getColumnName, 9
org/apache/sysds/runtime/matrix/data/FrameBlock$BooleanArray.<init>, 5
org/apache/sysds/runtime/matrix/data/FrameBlock$FloatArray.<init>, 5
org/apache/sysds/runtime/matrix/data/FrameBlock.createColName, 8
org/apache/sysds/runtime/matrix/data/FrameBlock.ensureColumnCompatibility, 6
org/apache/sysds/runtime/controlprogram/Program.getSafeNamespace, 5
org/apache/sysds/runtime/matrix/data/LibMatrixMult.vectMultiplyAdd2, 5
org/apache/sysds/runtime/matrix/data/LibMatrixMult.vectMultiplyAdd4, 7
org/apache/sysds/runtime/matrix/data/LibMatrixMult.dotProductGeneric, 7
org/apache/sysds/runtime/instructions/cp/ParamservBuiltinCPInstruction.getBatchSize, 5
org/apache/sysds/runtime/data/DenseBlock.reset, 6
org/apache/sysds/runtime/matrix/data/LibMatrixDNN.execute, 6
org/apache/sysds/runtime/compress/estim/encoding/SparseEncoding.<init>, 6
org/apache/sysds/runtime/data/SparseBlockMCSR.isAllocated, 15
org/apache/sysds/runtime/instructions/gpu/context/GPUContextPool.initializeGPU, 5
org/apache/sysds/runtime/io/FileFormatPropertiesLIBSVM.<init>, 5
org/apache/sysds/runtime/compress/estim/encoding/EmptyEncoding.<init>, 5
org/apache/sysds/runtime/data/DataTensorBlock.<init>, 7
org/apache/sysds/runtime/data/DataTensorBlock.getDim, 6
org/apache/sysds/utils/stats/NativeStatistics.incrementFailuresCounter, 5
org/apache/sysds/runtime/util/HDFSTool.writeObjectToHDFS, 5
org/apache/sysds/runtime/matrix/operators/QuaternaryOperator.<init>, 7
org/apache/sysds/runtime/data/TensorBlock.<init>, 5
org/apache/sysds/protobuf/SysdsProtos$Frame$Builder.getRowsFieldBuilder, 6
org/apache/sysds/protobuf/SysdsProtos$Frame$Builder.ensureRowsIsMutable, 9
org/apache/sysds/protobuf/SysdsProtos$Frame$Builder.clone, 6
